number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_gain_to_split,params_num_leaves,params_reg_alpha,params_reg_lambda,system_attrs_fixed_params,state
68,0.7439781090761647,2025-07-11 22:04:04.368501,2025-07-11 22:08:17.162697,0 days 00:04:12.794196,0.843025637863421,5.0,0.7145661813512122,0.03431990659079018,7.0,163.0,0.09361657557237148,0.00023038105571921,31,5.097259434414028,7.303650358607576,,COMPLETE
69,0.7437458534641834,2025-07-11 22:08:17.175115,2025-07-11 22:13:05.793828,0 days 00:04:48.618713,0.8624994628303368,4.0,0.7876478715048867,0.03228686738679044,7.0,241.0,0.3252826448242243,0.00016977976914432324,32,2.5153606830113664,0.5275393304571583,,COMPLETE
70,0.7437311077427952,2025-07-11 22:13:05.795037,2025-07-11 22:16:47.769187,0 days 00:03:41.974150,0.7131355088060136,5.0,0.71767606188601,0.04047223767832263,7.0,196.0,0.13264015878813934,0.0013427674995901845,41,6.569615952583707,4.019993717780745,,COMPLETE
71,0.7439107761789449,2025-07-11 22:16:47.781843,2025-07-11 22:21:14.177015,0 days 00:04:26.395172,0.9229761153990581,6.0,0.7064376821765682,0.030144236749162494,-1.0,136.0,0.04551278344865635,0.00010764210155231026,56,0.03798926137537719,0.5521979496372293,,COMPLETE
72,0.7435958206696757,2025-07-11 22:21:14.178207,2025-07-11 22:25:40.190022,0 days 00:04:26.011815,0.933920719603849,5.0,0.787692147891657,0.03282614434983366,7.0,124.0,0.12964485388955435,0.0014714634489274886,57,9.027570767153472,7.63848006605377,,COMPLETE
73,0.7435994927431301,2025-07-11 22:25:40.204768,2025-07-11 22:29:21.027544,0 days 00:03:40.822776,0.7955199712876588,5.0,0.7572719455917596,0.035746383603660746,7.0,97.0,1.54441548387071,0.00024685972512627043,34,0.4761350991278603,7.274621544589234,,COMPLETE
74,0.7438932171884497,2025-07-11 22:29:21.028718,2025-07-11 22:33:19.951597,0 days 00:03:58.922879,0.7860955039626147,4.0,0.7378187062220394,0.03610061662376463,11.0,222.0,0.02642552258112508,0.00020508359014927738,43,5.723981744572659,4.977185145315766,,COMPLETE
75,0.7437995513177187,2025-07-11 22:33:19.965381,2025-07-11 22:38:09.803375,0 days 00:04:49.837994,0.9595122484464702,5.0,0.7047728031139565,0.03337228811546537,11.0,234.0,0.018523923252558284,0.000424593764854161,56,0.12943720146189502,0.157297268761231,,COMPLETE
76,0.7439414512381042,2025-07-11 22:38:09.804525,2025-07-11 22:43:02.195492,0 days 00:04:52.390967,0.865715680308991,4.0,0.7538883611644657,0.030238888207641427,7.0,185.0,0.011877210364395228,0.0002434242018891755,31,7.821039471044846,1.9927189954081723,,COMPLETE
77,0.7437655154714307,2025-07-11 22:43:02.209228,2025-07-11 22:47:13.151656,0 days 00:04:10.942428,0.8510736996163262,4.0,0.7282212164115168,0.0376375020466742,11.0,100.0,0.018952715856571007,0.0007868902082656013,55,8.574923614341571,0.4142087791482083,,COMPLETE
78,0.7439461197979796,2025-07-11 22:47:13.152829,2025-07-11 22:51:58.000281,0 days 00:04:44.847452,0.9236657414172508,4.0,0.7003008518907007,0.03359989104058656,7.0,123.0,0.04354787154720873,0.00020280754406479205,45,6.960674306425942,0.3246294856770331,,COMPLETE
79,0.7432960106430316,2025-07-11 22:51:58.014231,2025-07-11 22:55:38.660477,0 days 00:03:40.646246,0.9463889993184177,3.0,0.7739885905690377,0.04006544858606841,7.0,97.0,0.03349729103395204,0.00015709598967187077,61,4.283428868147935,0.7953865028934978,,COMPLETE
80,0.743858776176049,2025-07-11 22:55:38.661612,2025-07-11 22:59:47.218703,0 days 00:04:08.557091,0.8135057968775243,6.0,0.7269140831512303,0.03401201287798565,7.0,132.0,0.10167449112978685,0.0002730131036337517,38,5.888307439002589,4.6840183283798,,COMPLETE
81,0.7438505326568011,2025-07-11 22:59:47.232944,2025-07-11 23:03:35.842604,0 days 00:03:48.609660,0.9038875362925649,4.0,0.7107924867605625,0.04098983338407673,7.0,137.0,0.12560458822499096,0.000852157090166118,38,9.646659344907357,0.5699316759037015,,COMPLETE
82,0.7437468549157625,2025-07-11 23:03:35.843798,2025-07-11 23:08:32.846423,0 days 00:04:57.002625,0.9081270613465505,4.0,0.7410160281960054,0.03027613916177693,7.0,207.0,0.06021765743036368,0.00024357456667872888,56,8.355386291319043,0.057996313234981604,,COMPLETE
83,0.7438842201075525,2025-07-11 23:08:32.860895,2025-07-11 23:12:52.835142,0 days 00:04:19.974247,0.8597111272032965,4.0,0.7126174610611637,0.03342054138610664,7.0,66.0,0.012794885125279236,0.00012473801908685435,33,0.21620234302260632,0.45601112130477306,,COMPLETE
84,0.7436465064559353,2025-07-11 23:12:52.836341,2025-07-11 23:17:37.316393,0 days 00:04:44.480052,0.9455481490985989,3.0,0.7428008452067966,0.031168611669589997,9.0,119.0,0.01569951564797992,0.00010676682458455786,65,0.16097858048299515,0.6887780677540303,,COMPLETE
85,0.743991468706703,2025-07-11 23:17:37.331128,2025-07-11 23:22:57.507110,0 days 00:05:20.175982,0.9478826747816397,3.0,0.7039752153477834,0.03393781650425971,9.0,140.0,0.04659320965564104,0.0002407682112487353,33,4.5386703190668625,0.6904386160536251,,COMPLETE
86,0.7439491520633529,2025-07-11 23:22:57.508356,2025-07-11 23:28:39.227541,0 days 00:05:41.719185,0.973463296240844,3.0,0.7051868292960917,0.033325093542686195,9.0,172.0,0.022076512151121185,0.0010470576708971494,32,2.412183197609907,6.187725246570488,,COMPLETE
87,0.7439080164229191,2025-07-11 23:28:39.242670,2025-07-11 23:32:02.246636,0 days 00:03:23.003966,0.9104011916463648,3.0,0.7033130317869394,0.03461584790278919,9.0,145.0,0.2840067466386231,0.0007456032621164497,44,0.39904061145076336,1.353464696950362,,COMPLETE
88,0.743782679138997,2025-07-11 23:32:02.247799,2025-07-11 23:36:48.764228,0 days 00:04:46.516429,0.9870822907470601,3.0,0.7730876035757341,0.030910594531467557,9.0,243.0,0.019334594699487947,0.0032142267691680306,33,6.643886849060773,3.2541512347007835,,COMPLETE
89,0.7439273487004284,2025-07-11 23:36:48.782718,2025-07-11 23:41:25.702695,0 days 00:04:36.919977,0.966118734053412,3.0,0.7065595393992223,0.03156512815627468,9.0,151.0,0.03914749841913238,0.0006038141448284025,46,0.740769269724529,4.895376940728219,,COMPLETE
90,0.7441143556056297,2025-07-11 23:41:25.703937,2025-07-11 23:45:52.695387,0 days 00:04:26.991450,0.9375391035200799,3.0,0.7124081311227315,0.03255977898062325,9.0,131.0,0.001761915298621776,0.00032173707107397814,35,6.679174407210396,0.13480067601425696,,COMPLETE
91,0.743908026655192,2025-07-11 23:45:52.711110,2025-07-11 23:51:40.332569,0 days 00:05:47.621459,0.8238175673950218,2.0,0.7537051909796023,0.030619161774539837,9.0,150.0,0.0015915128228162646,0.0005458434236044611,34,2.2040051109471124,0.05716484692744075,,COMPLETE
92,0.7435525256080918,2025-07-11 23:51:40.333716,2025-07-11 23:55:49.653403,0 days 00:04:09.319687,0.9973126968859876,1.0,0.743799408893139,0.038796836249282554,9.0,100.0,0.001433878953009614,0.0003926314909796828,37,0.17057427861443866,0.02848372243566361,,COMPLETE
93,0.7438904640939827,2025-07-11 23:55:49.669401,2025-07-11 23:59:28.269610,0 days 00:03:38.600209,0.8533129154358303,1.0,0.7289570923940643,0.0325059830467342,11.0,181.0,0.11230907066525064,0.00018524301404201774,35,1.4341880379581757,0.07321463305745476,,COMPLETE
94,0.7437392410995051,2025-07-11 23:59:28.270841,2025-07-12 00:04:10.348422,0 days 00:04:42.077581,0.9916898793667663,2.0,0.7048646985358944,0.03520195280711026,9.0,255.0,0.005183170415993427,0.0009443670044482366,58,1.9610600919680592,0.10619162154063659,,COMPLETE
95,0.7439084893959936,2025-07-12 00:04:10.364678,2025-07-12 00:09:10.948875,0 days 00:05:00.584197,0.9875025084761985,3.0,0.7187543496712032,0.03898807116822,9.0,159.0,0.09112699962435478,0.0003926017042364362,31,3.7645831450076237,0.45309004292532595,,COMPLETE
96,0.7436862631432376,2025-07-12 00:09:10.950067,2025-07-12 00:13:45.214907,0 days 00:04:34.264840,0.862387245282089,4.0,0.7166611987295284,0.030046881089091818,7.0,161.0,0.4066789326412467,0.00013956985711782594,93,0.011357353677775203,0.21838930658749003,,COMPLETE
97,0.7437647424436115,2025-07-12 00:13:45.231115,2025-07-12 00:19:45.323320,0 days 00:06:00.092205,0.979036249423922,4.0,0.7872496734927901,0.031087705106764008,9.0,52.0,0.0030875985960562447,0.0004898258971075248,36,7.318837202905834,0.37973064134203516,,COMPLETE
98,0.7438036292615983,2025-07-12 00:19:45.324514,2025-07-12 00:24:44.622518,0 days 00:04:59.298004,0.9858090150294465,3.0,0.7179718293526324,0.031892486697625365,11.0,226.0,0.00444727504198967,0.0006613665703982569,51,4.096397719800401,4.79876066912361,,COMPLETE
99,0.7439529398331445,2025-07-12 00:24:44.639142,2025-07-12 00:29:51.409537,0 days 00:05:06.770395,0.994982278971505,3.0,0.7130057011736356,0.03548837200740424,-1.0,187.0,0.001028792727596698,0.00010975908856655678,41,7.858779418486987,0.16185012884911057,,COMPLETE
100,0.7439670369103188,2025-07-12 00:29:51.410670,2025-07-12 00:35:22.248321,0 days 00:05:30.837651,0.9777722609844364,6.0,0.7241373309009019,0.03127801678526141,11.0,156.0,0.12284876009666411,0.00011253292689909296,32,0.026653212640160906,0.06549969111209336,,COMPLETE
101,,2025-07-12 00:48:50.825921,2025-07-12 00:48:50.846685,0 days 00:00:00.020764,,,,0.0318223240464043,,,,,42,,,,FAIL
102,0.7435865978696065,2025-07-12 00:49:26.137808,2025-07-12 00:54:25.889646,0 days 00:04:59.751838,0.9919815025212075,6.0,0.7985101751357018,0.030610361111725454,11.0,174.0,1.6274384394259032,0.00026559634948277296,43,0.08298925625474195,0.16324609806201087,,COMPLETE
103,0.7438302473919766,2025-07-12 00:54:25.906914,2025-07-12 01:02:53.327228,0 days 00:08:27.420314,0.9873813719506759,2.0,0.7462640703799478,0.023312753614375188,-1.0,240.0,0.059004828960672585,0.00013700363880196355,31,1.2574896883455722,0.8000410429363606,,COMPLETE
104,0.743028570389899,2025-07-12 01:02:53.328459,2025-07-12 01:09:10.508479,0 days 00:06:17.180020,0.9883946281331668,3.0,0.7056268352261472,0.02464860062244279,-1.0,102.0,0.05147292773178359,0.00011271831397492733,342,2.100031456370565,0.04262226253805512,,COMPLETE
105,0.7441173154668258,2025-07-12 01:09:10.525929,2025-07-12 01:15:32.730148,0 days 00:06:22.204219,0.9451775652990078,1.0,0.7374705810103468,0.025658251103088746,9.0,116.0,0.049284497862493004,0.00019288974661812162,31,5.990069308571716,0.12939940201626496,,COMPLETE
106,0.7432077808634098,2025-07-12 01:15:32.731382,2025-07-12 01:20:47.625645,0 days 00:05:14.894263,0.8788221806540712,4.0,0.7464544112705922,0.02429937330435243,9.0,154.0,0.05238556959157321,0.0002568003792385712,970,0.008975421426904922,0.016779987644707024,,COMPLETE
107,0.74391538374555,2025-07-12 01:20:47.643399,2025-07-12 01:27:16.448960,0 days 00:06:28.805561,0.9077890680881322,2.0,0.7436927390131424,0.024991121196385878,9.0,141.0,0.04260484174930344,0.00010139115124803035,32,2.233140875515064,0.9264880177094595,,COMPLETE
108,0.7435707683189445,2025-07-12 01:27:16.450175,2025-07-12 01:32:33.076252,0 days 00:05:16.626077,0.9499560922711803,6.0,0.7194021827371632,0.02485546130150581,7.0,89.0,0.06012121789434401,0.000556691108487192,133,0.014453173121333783,0.14179969482718627,,COMPLETE
109,0.7440415502246315,2025-07-12 01:32:33.094378,2025-07-12 01:39:22.177896,0 days 00:06:49.083518,0.9334614400643991,1.0,0.7364301599714348,0.025854910114712394,9.0,73.0,0.06205730081237562,0.0005294733260419738,31,2.102933939827057,0.1404349388503913,,COMPLETE
110,0.7428272115604249,2025-07-12 01:39:22.179055,2025-07-12 01:44:07.004466,0 days 00:04:44.825411,0.9150675587120517,1.0,0.7682907228093754,0.024862543879267344,9.0,67.0,0.1034862153323367,0.0003238579663551048,603,4.893737498500953,0.511870106776223,,COMPLETE
111,0.7439064263992177,2025-07-12 01:44:07.023129,2025-07-12 01:50:32.011711,0 days 00:06:24.988582,0.9082340679276177,2.0,0.7715166197294535,0.026688816691972258,9.0,197.0,0.0475397486214382,0.0002035981946367423,31,7.1590869924814475,0.041728185370757835,,COMPLETE
112,0.7437960289795941,2025-07-12 01:50:32.012941,2025-07-12 01:56:09.117853,0 days 00:05:37.104912,0.9966724171292966,1.0,0.7678760939990653,0.025589385305497293,7.0,65.0,0.04602322652893988,0.001086830212867446,31,6.34438509251132,0.04620975367068115,,COMPLETE
113,0.7437342561404213,2025-07-12 01:56:09.137850,2025-07-12 02:01:33.282737,0 days 00:05:24.144887,0.9509903394671513,1.0,0.8326353196358509,0.026198208701644483,11.0,98.0,0.046042981765287795,0.00017545244996039377,31,3.3005431430888352,0.18983512334960756,,COMPLETE
114,0.7438768286355475,2025-07-12 02:01:33.283857,2025-07-12 02:08:35.993136,0 days 00:07:02.709279,0.9011740256228418,1.0,0.8215465501694607,0.02093301961893943,-1.0,76.0,0.2053256557143807,0.0015777978140319568,32,3.8266356981975824,0.017145850188801,,COMPLETE
